aseg.csv,aseg_bigregions.csv,brainstem.csv,lh.aparc.a2009s.csv,lh.aparc.csv,lh.aparc.DKTatlas.csv,lh.aparc.pial.a2009s.csv,lh.aparc.pial.csv,lh.aparc.pialDKT.csv,lh.BA_exvivo.csv,lhpcsub.csv,rh.aparc.a2009s.csv,rh.aparc.csv,rh.aparc.DKTatlas.csv,rh.aparc.pial.a2009s.csv,rh.aparc.pial.csv,rh.aparc.pialDKT.csv,rh.BA_exvivo.csv,rhpcsub.csv,wmparc.csv
,,,g_pariet_inf-angular_thickavg,precentral_thickavg,rostralanteriorcingulate_thickavg,,,,,,g_pariet_inf-angular_thickavg,precentral_thickavg,rostralanteriorcingulate_thickavg,,,,,,
,,,g_pariet_inf-angular_thickstd,precentral_thickstd,rostralanteriorcingulate_thickstd,,,,,,g_pariet_inf-angular_thickstd,precentral_thickstd,rostralanteriorcingulate_thickstd,,,,,,
,,,g_pariet_inf-supramar_curvind,precuneus_curvind,rostralmiddlefrontal_curvind,,,,,,g_pariet_inf-supramar_curvind,precuneus_curvind,rostralmiddlefrontal_curvind,,,,,,
,,,g_pariet_inf-supramar_foldind,precuneus_foldind,rostralmiddlefrontal_foldind,,,,,,g_pariet_inf-supramar_foldind,precuneus_foldind,rostralmiddlefrontal_foldind,,,,,,
,,,g_pariet_inf-supramar_gauscurv,precuneus_gauscurv,rostralmiddlefrontal_gauscurv,,,,,,g_pariet_inf-supramar_gauscurv,precuneus_gauscurv,rostralmiddlefrontal_gauscurv,,,,,,
,,,g_pariet_inf-supramar_grayvol,precuneus_grayvol,rostralmiddlefrontal_grayvol,,,,,,g_pariet_inf-supramar_grayvol,precuneus_grayvol,rostralmiddlefrontal_grayvol,,,,,,
,,,g_pariet_inf-supramar_meancurv,precuneus_meancurv,rostralmiddlefrontal_meancurv,,,,,,g_pariet_inf-supramar_meancurv,precuneus_meancurv,rostralmiddlefrontal_meancurv,,,,,,
,,,g_pariet_inf-supramar_numvert,precuneus_numvert,rostralmiddlefrontal_numvert,,,,,,g_pariet_inf-supramar_numvert,precuneus_numvert,rostralmiddlefrontal_numvert,,,,,,
,,,g_pariet_inf-supramar_surfarea,precuneus_surfarea,rostralmiddlefrontal_surfarea,,,,,,g_pariet_inf-supramar_surfarea,precuneus_surfarea,rostralmiddlefrontal_surfarea,,,,,,
,,,g_pariet_inf-supramar_thickavg,precuneus_thickavg,rostralmiddlefrontal_thickavg,,,,,,g_pariet_inf-supramar_thickavg,precuneus_thickavg,rostralmiddlefrontal_thickavg,,,,,,
,,,g_pariet_inf-supramar_thickstd,precuneus_thickstd,rostralmiddlefrontal_thickstd,,,,,,g_pariet_inf-supramar_thickstd,precuneus_thickstd,rostralmiddlefrontal_thickstd,,,,,,
,,,g_parietal_sup_curvind,rostralanteriorcingulate_curvind,superiorfrontal_curvind,,,,,,g_parietal_sup_curvind,rostralanteriorcingulate_curvind,superiorfrontal_curvind,,,,,,
,,,g_parietal_sup_foldind,rostralanteriorcingulate_foldind,superiorfrontal_foldind,,,,,,g_parietal_sup_foldind,rostralanteriorcingulate_foldind,superiorfrontal_foldind,,,,,,
,,,g_parietal_sup_gauscurv,rostralanteriorcingulate_gauscurv,superiorfrontal_gauscurv,,,,,,g_parietal_sup_gauscurv,rostralanteriorcingulate_gauscurv,superiorfrontal_gauscurv,,,,,,
,,,g_parietal_sup_grayvol,rostralanteriorcingulate_grayvol,superiorfrontal_grayvol,,,,,,g_parietal_sup_grayvol,rostralanteriorcingulate_grayvol,superiorfrontal_grayvol,,,,,,
,,,g_parietal_sup_meancurv,rostralanteriorcingulate_meancurv,superiorfrontal_meancurv,,,,,,g_parietal_sup_meancurv,rostralanteriorcingulate_meancurv,superiorfrontal_meancurv,,,,,,
,,,g_parietal_sup_numvert,rostralanteriorcingulate_numvert,superiorfrontal_numvert,,,,,,g_parietal_sup_numvert,rostralanteriorcingulate_numvert,superiorfrontal_numvert,,,,,,
,,,g_parietal_sup_surfarea,rostralanteriorcingulate_surfarea,superiorfrontal_surfarea,,,,,,g_parietal_sup_surfarea,rostralanteriorcingulate_surfarea,superiorfrontal_surfarea,,,,,,
,,,g_parietal_sup_thickavg,rostralanteriorcingulate_thickavg,superiorfrontal_thickavg,,,,,,g_parietal_sup_thickavg,rostralanteriorcingulate_thickavg,superiorfrontal_thickavg,,,,,,
,,,g_parietal_sup_thickstd,rostralanteriorcingulate_thickstd,superiorfrontal_thickstd,,,,,,g_parietal_sup_thickstd,rostralanteriorcingulate_thickstd,superiorfrontal_thickstd,,,,,,
,,,g_postcentral_curvind,rostralmiddlefrontal_curvind,superiorparietal_curvind,,,,,,g_postcentral_curvind,rostralmiddlefrontal_curvind,superiorparietal_curvind,,,,,,
,,,g_postcentral_foldind,rostralmiddlefrontal_foldind,superiorparietal_foldind,,,,,,g_postcentral_foldind,rostralmiddlefrontal_foldind,superiorparietal_foldind,,,,,,
,,,g_postcentral_gauscurv,rostralmiddlefrontal_gauscurv,superiorparietal_gauscurv,,,,,,g_postcentral_gauscurv,rostralmiddlefrontal_gauscurv,superiorparietal_gauscurv,,,,,,
,,,g_postcentral_grayvol,rostralmiddlefrontal_grayvol,superiorparietal_grayvol,,,,,,g_postcentral_grayvol,rostralmiddlefrontal_grayvol,superiorparietal_grayvol,,,,,,
,,,g_postcentral_meancurv,rostralmiddlefrontal_meancurv,superiorparietal_meancurv,,,,,,g_postcentral_meancurv,rostralmiddlefrontal_meancurv,superiorparietal_meancurv,,,,,,
,,,g_postcentral_numvert,rostralmiddlefrontal_numvert,superiorparietal_numvert,,,,,,g_postcentral_numvert,rostralmiddlefrontal_numvert,superiorparietal_numvert,,,,,,
,,,g_postcentral_surfarea,rostralmiddlefrontal_surfarea,superiorparietal_surfarea,,,,,,g_postcentral_surfarea,rostralmiddlefrontal_surfarea,superiorparietal_surfarea,,,,,,
,,,g_postcentral_thickavg,rostralmiddlefrontal_thickavg,superiorparietal_thickavg,,,,,,g_postcentral_thickavg,rostralmiddlefrontal_thickavg,superiorparietal_thickavg,,,,,,
